HomeTeam,AwayTeam
Arsenal,Everton
Brentford,Newcastle United
Brighton and Hove Albion,Manchester United
Burnley,Nottingham Forest
Chelsea,Bournemouth
Crystal Palace,Aston Villa
Liverpool,Wolverhampton Wanderers
Luton Town,Fulham
Manchester City,West Ham United
Sheffield United,Tottenham Hotspur
