HomeTeam,AwayTeam,Home_win_percentage,Away_win_percentage,Home_Total_win_percentage,Away_Total_win_percentage,Home_draw_percentage,Away_draw_percentage,Home_Total_draw_percentage,Away_Total_draw_percentage,Home_lose_percentage,Away_lose_percentage,Home_Total_lose_percentage,Away_Total_lose_percentage,Home_percentage_score_over_0_5,Away_percentage_score_over_0_5,Home_Total_percentage_score_over_0_5,Away_Total_percentage_score_over_0_5,Home_percentage_score_over_1_5,Away_percentage_score_over_1_5,Home_Total_percentage_score_over_1_5,Away_Total_percentage_score_over_1_5,Home_percentage_score_over_2_5,Away_percentage_score_over_2_5,Home_Total_percentage_score_over_2_5,Away_Total_percentage_score_over_2_5,Home_percentage_score_over_3_5,Away_percentage_score_over_3_5,Home_Total_percentage_score_over_3_5,Away_Total_percentage_score_over_3_5,Home_percentage_concede_over_0.5,Away_percentage_concede_over_0.5,Home_Total_percentage_concede_over_0.5,Away_Total_percentage_concede_over_0.5,Home_percentage_concede_over_1.5,Away_percentage_concede_over_1.5,Home_Total_percentage_concede_over_1.5,Away_Total_percentage_concede_over_1.5,Home_percentage_concede_over_2.5,Away_percentage_concede_over_2.5,Home_Total_percentage_concede_over_2.5,Away_Total_percentage_concede_over_2.5,Home_percentage_concede_over_3.5,Away_percentage_concede_over_3.5,Home_Total_percentage_concede_over_3.5,Away_Total_percentage_concede_over_3.5,Home_percentage_total_goals_over_0.5,Away_percentage_total_goals_over_0.5,Home_Total_percentage_total_goals_over_0.5,Away_Total_percentage_total_goals_over_0.5,Home_percentage_total_goals_over_1.5,Away_percentage_total_goals_over_1.5,Home_Total_percentage_total_goals_over_1.5,Away_Total_percentage_total_goals_over_1.5,Home_percentage_total_goals_over_2.5,Away_percentage_total_goals_over_2.5,Home_Total_percentage_total_goals_over_2.5,Away_Total_percentage_total_goals_over_2.5,Home_percentage_total_goals_over_3.5,Away_percentage_total_goals_over_3.5,Home_Total_percentage_total_goals_over_3.5,Away_Total_percentage_total_goals_over_3.5,Home_percentage_total_goals_over_4.5,Away_percentage_total_goals_over_4.5,Home_Total_percentage_total_goals_over_4.5,Away_Total_percentage_total_goals_over_4.5,Home_percentage_team_score,Away_percentage_team_score,Home_Total_percentage_team_score,Away_Total_percentage_team_score,PredictedHomeGoals,PredictedAwayGoals
Bayer Leverkusen,Atalanta,84.61538,,82.35294,,15.38462,,17.64706,,0.0,,0.0,,96.15385,,98.03922,,92.30769,,84.31373,,61.53846,,50.98039,,34.61538,,25.4902,,57.69231,,54.90196,,19.23077,,21.56863,,0.0,,0.0,,0.0,,0.0,,96.15385,,98.03922,,96.15385,,92.15686,,84.61538,,72.54902,,57.69231,,47.05882,,30.76923,,29.41176,,96.15385,,98.03922,,1.1589999999999998,0.9532083333333334
Bayer Leverkusen,Atalanta,,44.44444,,56.60377,,25.92593,,18.86792,,29.62963,,24.5283,,85.18519,,86.79245,,55.55556,,60.37736,,18.51852,,26.41509,,7.40741,,9.43396,,74.07407,,64.15094,,29.62963,,24.5283,,14.81481,,7.54717,,3.7037,,1.88679,,100.0,,98.11321,,88.88889,,84.90566,,62.96296,,60.37736,,25.92593,,26.41509,,11.11111,,13.20755,,85.18519,,86.79245,1.1589999999999998,0.9532083333333334
