date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2024-05-04,Bundesliga,Matchweek 32,Home,D,0,0,Freiburg,0.9,0.8,56.0,19.0,7.0,0.0,0,0,Koln
2024-05-11,Bundesliga,Matchweek 33,Home,W,3,2,Union Berlin,3.1,1.6,62.0,17.0,4.0,0.0,1,1,Koln
2024-05-18,Bundesliga,Matchweek 34,Away,L,1,4,Heidenheim,2.3,1.0,51.0,22.0,9.0,0.0,0,0,Koln
2023-08-14,DFB-Pokal,Round of 64,Away,L,0,3,Homburg,,,82.0,27.0,9.0,,0,1,Darmstadt 98
2023-08-20,Bundesliga,Matchweek 1,Away,L,0,1,Eint Frankfurt,0.5,1.5,39.0,10.0,2.0,0.0,0,0,Darmstadt 98
2023-08-26,Bundesliga,Matchweek 2,Home,L,1,4,Union Berlin,2.3,1.7,73.0,21.0,6.0,0.0,0,0,Darmstadt 98
2023-09-02,Bundesliga,Matchweek 3,Away,L,1,5,Leverkusen,0.4,2.8,28.0,5.0,1.0,0.0,0,0,Darmstadt 98
2023-09-17,Bundesliga,Matchweek 4,Home,D,3,3,Gladbach,1.2,3.9,37.0,15.0,8.0,2.0,0,0,Darmstadt 98
2023-09-22,Bundesliga,Matchweek 5,Away,L,1,3,Stuttgart,0.2,2.3,42.0,4.0,0.0,0.0,0,0,Darmstadt 98
2023-10-01,Bundesliga,Matchweek 6,Home,W,4,2,Werder Bremen,2.4,1.5,43.0,13.0,4.0,0.0,1,1,Darmstadt 98
2023-10-07,Bundesliga,Matchweek 7,Away,W,2,1,Augsburg,1.8,0.9,52.0,16.0,4.0,0.0,1,1,Darmstadt 98
2023-10-21,Bundesliga,Matchweek 8,Home,L,1,3,RB Leipzig,2.4,1.9,57.0,17.0,3.0,0.0,1,1,Darmstadt 98
2023-10-28,Bundesliga,Matchweek 9,Away,L,0,8,Bayern Munich,0.7,5.8,46.0,9.0,4.0,1.0,0,0,Darmstadt 98
2023-11-03,Bundesliga,Matchweek 10,Home,L,1,2,Bochum,0.7,1.2,58.0,15.0,4.0,1.0,0,0,Darmstadt 98
2023-11-11,Bundesliga,Matchweek 11,Home,D,0,0,Mainz 05,0.5,0.7,56.0,10.0,3.0,0.0,0,0,Darmstadt 98
2023-11-25,Bundesliga,Matchweek 12,Away,D,1,1,Freiburg,0.4,1.6,34.0,7.0,1.0,0.0,0,0,Darmstadt 98
2023-12-01,Bundesliga,Matchweek 13,Home,L,0,1,Köln,0.7,1.5,45.0,11.0,2.0,2.0,0,0,Darmstadt 98
2023-12-09,Bundesliga,Matchweek 14,Away,L,2,3,Heidenheim,0.9,1.4,56.0,20.0,7.0,0.0,0,0,Darmstadt 98
