date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2023-09-16,Serie A,Matchweek 4,Home,D,2.0,2.0,Napoli,1.2,0.9,34.0,8.0,3.0,0.0,0,0,Genoa
2023-09-22,Serie A,Matchweek 5,Away,L,0.0,1.0,Lecce,0.3,0.9,44.0,8.0,1.0,1.0,0,0,Genoa
2023-09-28,Serie A,Matchweek 6,Home,W,4.0,1.0,Roma,1.1,1.4,29.0,8.0,4.0,0.0,0,0,Genoa
2023-10-01,Serie A,Matchweek 7,Away,D,2.0,2.0,Udinese,0.8,1.3,41.0,8.0,4.0,0.0,0,0,Genoa
2023-10-07,Serie A,Matchweek 8,Home,L,0.0,1.0,Milan,0.5,0.6,41.0,7.0,1.0,1.0,0,0,Genoa
2023-10-22,Serie A,Matchweek 9,Away,L,0.0,2.0,Atalanta,1.0,1.2,44.0,15.0,4.0,2.0,0,0,Genoa
2023-10-27,Serie A,Matchweek 10,Home,W,1.0,0.0,Salernitana,0.5,0.6,51.0,8.0,4.0,0.0,0,0,Genoa
2023-11-01,Coppa Italia,Second round,Home,W,2.0,1.0,Reggiana,,,50.0,18.0,8.0,,0,0,Genoa
2023-11-05,Serie A,Matchweek 11,Away,L,1.0,2.0,Cagliari,1.0,0.9,58.0,8.0,2.0,0.0,0,0,Genoa
2023-11-10,Serie A,Matchweek 12,Home,W,1.0,0.0,Hellas Verona,1.6,0.2,50.0,16.0,5.0,1.0,0,0,Genoa
2023-11-26,Serie A,Matchweek 13,Away,L,1.0,2.0,Frosinone,1.3,0.6,43.0,13.0,3.0,1.0,0,0,Genoa
2023-12-02,Serie A,Matchweek 14,Home,D,1.0,1.0,Empoli,1.0,0.8,50.0,21.0,1.0,1.0,0,0,Genoa
2023-12-05,Coppa Italia,Round of 16,Away,L,0.0,1.0,Lazio,,,45.0,11.0,2.0,,0,0,Genoa
2023-12-10,Serie A,Matchweek 15,Away,L,0.0,1.0,Monza,1.4,0.4,49.0,16.0,1.0,1.0,0,0,Genoa
2023-12-15,Serie A,Matchweek 16,Home,D,1.0,1.0,Juventus,0.8,1.7,43.0,11.0,3.0,1.0,0,0,Genoa
2023-12-22,Serie A,Matchweek 17,Away,W,2.0,1.0,Sassuolo,1.6,1.4,57.0,13.0,4.0,0.0,1,1,Genoa
2023-12-29,Serie A,Matchweek 18,Home,D,1.0,1.0,Inter,0.5,1.8,48.0,13.0,4.0,0.0,0,0,Genoa
2024-01-05,Serie A,Matchweek 19,Away,D,1.0,1.0,Bologna,0.1,1.3,29.0,3.0,1.0,2.0,0,0,Genoa
2024-01-13,Serie A,Matchweek 20,Home,D,0.0,0.0,Torino,0.5,0.4,44.0,11.0,6.0,1.0,0,0,Genoa
2024-01-21,Serie A,Matchweek 21,Away,W,2.0,1.0,Salernitana,1.1,0.8,40.0,4.0,4.0,0.0,1,1,Genoa
2024-01-28,Serie A,Matchweek 22,Home,W,2.0,1.0,Lecce,1.7,1.8,49.0,19.0,7.0,2.0,0,0,Genoa
2024-02-03,Serie A,Matchweek 23,Away,D,0.0,0.0,Empoli,0.6,0.6,51.0,10.0,1.0,0.0,0,0,Genoa
2024-02-11,Serie A,Matchweek 24,Home,L,1.0,4.0,Atalanta,0.8,2.1,55.0,15.0,6.0,1.0,0,0,Genoa
2024-02-17,Serie A,Matchweek 25,Away,D,1.0,1.0,Napoli,0.3,1.4,26.0,6.0,4.0,0.0,0,0,Genoa
2024-02-24,Serie A,Matchweek 26,Home,W,2.0,0.0,Udinese,1.3,0.3,65.0,19.0,4.0,2.0,0,0,Genoa
2024-03-04,Serie A,Matchweek 27,Away,L,1.0,2.0,Inter,0.8,1.8,38.0,10.0,2.0,0.0,0,0,Genoa
2024-03-09,Serie A,Matchweek 28,Home,L,2.0,3.0,Monza,2.1,1.7,62.0,21.0,4.0,0.0,0,1,Genoa
2024-03-17,Serie A,Matchweek 29,Away,D,0.0,0.0,Juventus,0.2,1.0,34.0,5.0,2.0,0.0,0,0,Genoa
2024-03-30,Serie A,Matchweek 30,Home,D,1.0,1.0,Frosinone,1.5,0.8,47.0,8.0,2.0,0.0,1,1,Genoa
2024-04-07,Serie A,Matchweek 31,Away,W,2.0,1.0,Hellas Verona,2.2,1.3,39.0,11.0,5.0,0.0,0,0,Genoa
2024-04-15,Serie A,Matchweek 32,Away,D,1.0,1.0,Fiorentina,1.3,1.5,41.0,6.0,2.0,0.0,1,1,Genoa
2024-04-19,Serie A,Matchweek 33,Home,L,0.0,1.0,Lazio,0.5,1.0,39.0,8.0,2.0,0.0,0,0,Genoa
2024-04-29,Serie A,Matchweek 34,Home,W,3.0,0.0,Cagliari,1.2,1.1,62.0,12.0,5.0,1.0,0,0,Genoa
2024-05-05,Serie A,Matchweek 35,Away,D,3.0,3.0,Milan,1.0,2.8,41.0,5.0,1.0,0.0,1,1,Genoa
2024-05-12,Serie A,Matchweek 36,Home,W,2.0,1.0,Sassuolo,0.9,1.7,57.0,8.0,1.0,0.0,0,0,Genoa
2024-05-19,Serie A,Matchweek 37,Away,L,0.0,1.0,Roma,0.5,0.8,46.0,12.0,5.0,0.0,0,0,Genoa
2023-08-13,Coppa Italia,First round,Home,L,1.0,2.0,Reggiana,,,62.0,21.0,4.0,,0,0,Monza
2023-08-19,Serie A,Matchweek 1,Away,L,0.0,2.0,Inter,0.8,2.7,53.0,12.0,2.0,0.0,0,0,Monza
2023-08-26,Serie A,Matchweek 2,Home,W,2.0,0.0,Empoli,2.0,1.0,54.0,20.0,5.0,1.0,0,0,Monza
2023-09-02,Serie A,Matchweek 3,Away,L,0.0,3.0,Atalanta,0.4,1.3,59.0,8.0,2.0,1.0,0,0,Monza
2023-09-17,Serie A,Matchweek 4,Home,D,1.0,1.0,Lecce,2.2,0.9,61.0,25.0,5.0,0.0,0,0,Monza
2023-09-23,Serie A,Matchweek 5,Away,D,1.0,1.0,Lazio,1.2,1.0,51.0,16.0,4.0,0.0,0,0,Monza
2023-09-28,Serie A,Matchweek 6,Home,D,0.0,0.0,Bologna,0.7,0.7,47.0,10.0,3.0,1.0,0,0,Monza
2023-10-02,Serie A,Matchweek 7,Away,W,1.0,0.0,Sassuolo,1.5,1.4,56.0,13.0,4.0,0.0,0,0,Monza
2023-10-08,Serie A,Matchweek 8,Home,W,3.0,0.0,Salernitana,2.8,0.6,57.0,15.0,6.0,0.0,1,1,Monza
2023-10-22,Serie A,Matchweek 9,Away,L,0.0,1.0,Roma,0.4,1.7,48.0,11.0,4.0,1.0,0,0,Monza
2023-10-29,Serie A,Matchweek 10,Home,D,1.0,1.0,Udinese,0.5,1.1,61.0,10.0,4.0,0.0,0,0,Monza
2023-11-05,Serie A,Matchweek 11,Away,W,3.0,1.0,Hellas Verona,0.9,1.0,54.0,12.0,6.0,0.0,0,0,Monza
2023-11-11,Serie A,Matchweek 12,Home,D,1.0,1.0,Torino,0.9,1.0,44.0,12.0,5.0,0.0,0,0,Monza
2023-11-26,Serie A,Matchweek 13,Away,D,1.0,1.0,Cagliari,0.7,1.6,61.0,12.0,4.0,1.0,0,0,Monza
2023-12-01,Serie A,Matchweek 14,Home,L,1.0,2.0,Juventus,0.7,2.5,65.0,16.0,1.0,0.0,0,0,Monza
2023-12-10,Serie A,Matchweek 15,Home,W,1.0,0.0,Genoa,0.4,1.4,51.0,6.0,3.0,1.0,0,0,Monza
2023-12-17,Serie A,Matchweek 16,Away,L,0.0,3.0,Milan,1.5,2.0,55.0,21.0,4.0,1.0,0,0,Monza
2023-12-22,Serie A,Matchweek 17,Home,L,0.0,1.0,Fiorentina,0.7,2.0,52.0,7.0,2.0,1.0,0,0,Monza
2023-12-29,Serie A,Matchweek 18,Away,D,0.0,0.0,Napoli,1.1,2.0,42.0,7.0,2.0,0.0,0,1,Monza
2024-01-06,Serie A,Matchweek 19,Away,W,3.0,2.0,Frosinone,1.3,1.2,40.0,7.0,2.0,0.0,0,0,Monza
2024-01-13,Serie A,Matchweek 20,Home,L,1.0,5.0,Inter,1.0,4.3,57.0,8.0,1.0,1.0,1,1,Monza
2024-01-21,Serie A,Matchweek 21,Away,L,0.0,3.0,Empoli,0.8,1.3,72.0,15.0,5.0,1.0,0,0,Monza
2024-01-28,Serie A,Matchweek 22,Home,W,1.0,0.0,Sassuolo,0.4,0.8,61.0,12.0,1.0,0.0,0,0,Monza
2024-02-03,Serie A,Matchweek 23,Away,D,0.0,0.0,Udinese,0.1,0.9,53.0,3.0,1.0,0.0,0,0,Monza
2024-02-11,Serie A,Matchweek 24,Home,D,0.0,0.0,Hellas Verona,0.7,0.7,55.0,11.0,1.0,0.0,0,0,Monza
2024-02-18,Serie A,Matchweek 25,Home,W,4.0,2.0,Milan,1.8,1.3,49.0,11.0,5.0,0.0,1,1,Monza
2024-02-24,Serie A,Matchweek 26,Away,W,2.0,0.0,Salernitana,2.4,0.9,61.0,17.0,7.0,0.0,0,0,Monza
2024-03-02,Serie A,Matchweek 27,Home,L,1.0,4.0,Roma,0.9,1.8,49.0,16.0,5.0,0.0,0,0,Monza
2024-03-09,Serie A,Matchweek 28,Away,W,3.0,2.0,Genoa,1.7,2.1,38.0,9.0,5.0,0.0,0,0,Monza
2024-03-16,Serie A,Matchweek 29,Home,W,1.0,0.0,Cagliari,1.0,0.4,62.0,15.0,3.0,1.0,0,0,Monza
2024-03-30,Serie A,Matchweek 30,Away,L,0.0,1.0,Torino,0.8,1.6,39.0,9.0,2.0,0.0,0,0,Monza
2024-04-07,Serie A,Matchweek 31,Home,L,2.0,4.0,Napoli,0.4,2.2,39.0,7.0,2.0,0.0,0,0,Monza
2024-04-13,Serie A,Matchweek 32,Away,D,0.0,0.0,Bologna,0.4,2.1,38.0,4.0,0.0,0.0,0,0,Monza
2024-04-21,Serie A,Matchweek 33,Home,L,1.0,2.0,Atalanta,1.1,1.5,58.0,17.0,2.0,1.0,0,0,Monza
2024-04-27,Serie A,Matchweek 34,Away,D,1.0,1.0,Lecce,1.1,0.9,55.0,8.0,0.0,0.0,1,1,Monza
2024-05-04,Serie A,Matchweek 35,Home,D,2.0,2.0,Lazio,1.7,1.4,59.0,17.0,7.0,1.0,0,0,Monza
2024-05-13,Serie A,Matchweek 36,Away,L,1.0,2.0,Fiorentina,0.7,2.5,51.0,6.0,2.0,0.0,0,0,Monza
2024-05-19,Serie A,Matchweek 37,Home,L,0.0,1.0,Frosinone,1.0,2.0,70.0,14.0,2.0,1.0,0,0,Monza
2023-08-12,Coppa Italia,First round,Home,W,3.0,1.0,Ascoli,,,55.0,16.0,8.0,,1,1,Hellas Verona
2023-08-19,Serie A,Matchweek 1,Away,W,1.0,0.0,Empoli,0.5,0.7,52.0,10.0,4.0,0.0,0,0,Hellas Verona
2023-08-26,Serie A,Matchweek 2,Home,W,2.0,1.0,Roma,0.7,1.5,29.0,5.0,3.0,0.0,0,0,Hellas Verona
2023-09-01,Serie A,Matchweek 3,Away,L,1.0,3.0,Sassuolo,0.6,1.7,53.0,11.0,3.0,0.0,0,0,Hellas Verona
2023-09-18,Serie A,Matchweek 4,Home,D,0.0,0.0,Bologna,0.4,0.6,40.0,9.0,1.0,0.0,0,0,Hellas Verona
2023-09-23,Serie A,Matchweek 5,Away,L,0.0,1.0,Milan,0.6,0.9,46.0,10.0,2.0,0.0,0,0,Hellas Verona
2023-09-27,Serie A,Matchweek 6,Home,L,0.0,1.0,Atalanta,0.5,1.2,51.0,11.0,2.0,1.0,0,0,Hellas Verona
2023-10-02,Serie A,Matchweek 7,Away,D,0.0,0.0,Torino,0.3,0.6,45.0,5.0,2.0,1.0,0,0,Hellas Verona
2023-10-08,Serie A,Matchweek 8,Away,L,1.0,2.0,Frosinone,0.8,1.8,48.0,16.0,4.0,0.0,0,0,Hellas Verona
2023-10-21,Serie A,Matchweek 9,Home,L,1.0,3.0,Napoli,1.3,2.3,40.0,15.0,9.0,0.0,0,0,Hellas Verona
2023-10-28,Serie A,Matchweek 10,Away,L,0.0,1.0,Juventus,0.3,3.3,46.0,7.0,1.0,0.0,0,0,Hellas Verona
2023-10-31,Coppa Italia,Second round,Away,L,0.0,2.0,Bologna,,,36.0,12.0,4.0,,0,0,Hellas Verona
2023-11-05,Serie A,Matchweek 11,Home,L,1.0,3.0,Monza,1.0,0.9,46.0,16.0,5.0,0.0,0,0,Hellas Verona
2023-11-10,Serie A,Matchweek 12,Away,L,0.0,1.0,Genoa,0.2,1.6,50.0,7.0,1.0,0.0,0,0,Hellas Verona
2023-11-27,Serie A,Matchweek 13,Home,D,2.0,2.0,Lecce,1.7,1.0,49.0,19.0,11.0,2.0,0,0,Hellas Verona
2023-12-03,Serie A,Matchweek 14,Away,D,3.0,3.0,Udinese,1.3,1.9,60.0,12.0,3.0,0.0,1,1,Hellas Verona
2023-12-09,Serie A,Matchweek 15,Home,D,1.0,1.0,Lazio,1.0,1.0,29.0,5.0,1.0,0.0,0,0,Hellas Verona
2023-12-17,Serie A,Matchweek 16,Away,L,0.0,1.0,Fiorentina,2.5,0.5,35.0,18.0,6.0,1.0,0,1,Hellas Verona
2023-12-23,Serie A,Matchweek 17,Home,W,2.0,0.0,Cagliari,0.9,0.8,57.0,13.0,5.0,1.0,0,0,Hellas Verona
2023-12-30,Serie A,Matchweek 18,Home,L,0.0,1.0,Salernitana,0.8,0.5,48.0,11.0,0.0,0.0,0,0,Hellas Verona
2024-01-06,Serie A,Matchweek 19,Away,L,1.0,2.0,Inter,1.3,1.9,39.0,7.0,3.0,0.0,0,1,Hellas Verona
2024-01-13,Serie A,Matchweek 20,Home,W,2.0,1.0,Empoli,0.8,0.8,40.0,11.0,7.0,1.0,0,0,Hellas Verona
2024-01-20,Serie A,Matchweek 21,Away,L,1.0,2.0,Roma,1.1,0.9,38.0,11.0,3.0,0.0,0,1,Hellas Verona
2024-01-28,Serie A,Matchweek 22,Home,D,1.0,1.0,Frosinone,2.2,1.2,49.0,13.0,3.0,0.0,1,2,Hellas Verona
2024-02-04,Serie A,Matchweek 23,Away,L,1.0,2.0,Napoli,0.9,1.2,32.0,12.0,2.0,0.0,0,0,Hellas Verona
2024-02-11,Serie A,Matchweek 24,Away,D,0.0,0.0,Monza,0.7,0.7,45.0,10.0,1.0,1.0,0,0,Hellas Verona
2024-02-17,Serie A,Matchweek 25,Home,D,2.0,2.0,Juventus,0.6,1.8,44.0,14.0,9.0,1.0,0,0,Hellas Verona
2024-02-23,Serie A,Matchweek 26,Away,L,0.0,2.0,Bologna,0.6,1.6,42.0,7.0,3.0,1.0,0,0,Hellas Verona
2024-03-03,Serie A,Matchweek 27,Home,W,1.0,0.0,Sassuolo,0.4,0.5,48.0,10.0,5.0,0.0,0,0,Hellas Verona
2024-03-10,Serie A,Matchweek 28,Away,W,1.0,0.0,Lecce,0.6,1.0,44.0,13.0,4.0,1.0,0,0,Hellas Verona
2024-03-17,Serie A,Matchweek 29,Home,L,1.0,3.0,Milan,0.5,2.7,44.0,15.0,4.0,0.0,0,0,Hellas Verona
2024-04-01,Serie A,Matchweek 30,Away,D,1.0,1.0,Cagliari,1.4,0.6,48.0,8.0,5.0,1.0,0,0,Hellas Verona
