,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score,percentage_score_in_1st_half,percentage_concede_in_1st_half,percentage_score_in_2nd_half,percentage_concede_in_2nd_half
Burnley,11.11,22.22,66.67,61.11,22.22,5.56,5.56,94.44,66.67,33.33,22.22,100.0,94.44,55.56,38.89,27.78,61.11,33.33,72.22,44.44,72.22
Arsenal,77.78,11.11,11.11,88.89,83.33,44.44,22.22,61.11,22.22,0.0,0.0,100.0,94.44,72.22,50.0,22.22,88.89,72.22,33.33,72.22,44.44
Bournemouth,36.84,31.58,31.58,73.68,47.37,15.79,5.26,73.68,47.37,15.79,10.53,94.74,84.21,63.16,31.58,5.26,73.68,36.84,47.37,57.89,52.63
Brighton,47.06,35.29,17.65,82.35,41.18,29.41,17.65,82.35,29.41,17.65,5.88,94.12,82.35,58.82,47.06,17.65,82.35,58.82,41.18,64.71,58.82
Everton,42.11,21.05,36.84,73.68,31.58,10.53,0.0,52.63,26.32,15.79,0.0,94.74,63.16,36.84,15.79,0.0,73.68,47.37,15.79,47.37,42.11
Sheffield United,11.11,22.22,66.67,66.67,33.33,5.56,0.0,94.44,83.33,50.0,27.78,100.0,88.89,83.33,66.67,38.89,66.67,33.33,72.22,44.44,94.44
Newcastle,63.16,21.05,15.79,100.0,63.16,47.37,36.84,57.89,31.58,21.05,5.26,100.0,84.21,68.42,52.63,31.58,100.0,73.68,42.11,73.68,36.84
Brentford,27.78,38.89,33.33,83.33,44.44,22.22,0.0,77.78,55.56,22.22,11.11,88.89,83.33,66.67,55.56,22.22,83.33,55.56,50.0,50.0,66.67
Chelsea,55.56,22.22,22.22,83.33,72.22,38.89,22.22,66.67,44.44,16.67,11.11,100.0,83.33,61.11,50.0,38.89,83.33,77.78,38.89,72.22,55.56
Man United,50.0,16.67,33.33,77.78,50.0,22.22,5.56,77.78,50.0,16.67,0.0,100.0,77.78,66.67,33.33,16.67,77.78,33.33,66.67,66.67,44.44
Nott'm Forest,26.32,26.32,47.37,78.95,57.89,5.26,0.0,89.47,47.37,21.05,0.0,100.0,89.47,52.63,36.84,21.05,78.95,42.11,42.11,68.42,78.95
Fulham,47.37,10.53,42.11,63.16,42.11,36.84,10.53,68.42,36.84,15.79,5.26,94.74,78.95,63.16,36.84,15.79,63.16,42.11,36.84,57.89,57.89
Liverpool,77.78,16.67,5.56,88.89,77.78,66.67,27.78,72.22,16.67,5.56,0.0,94.44,88.89,72.22,50.0,27.78,88.89,66.67,50.0,83.33,27.78
Wolves,42.11,15.79,42.11,84.21,42.11,10.53,0.0,84.21,42.11,21.05,10.53,100.0,84.21,63.16,26.32,10.53,84.21,47.37,47.37,57.89,63.16
Tottenham,72.22,0.0,27.78,100.0,77.78,27.78,5.56,88.89,33.33,11.11,5.56,100.0,100.0,88.89,38.89,22.22,100.0,55.56,55.56,77.78,55.56
Man City,72.22,27.78,0.0,94.44,72.22,44.44,27.78,66.67,11.11,5.56,0.0,94.44,83.33,55.56,50.0,33.33,94.44,72.22,27.78,72.22,44.44
Aston Villa,63.16,21.05,15.79,94.74,68.42,57.89,21.05,78.95,42.11,21.05,5.26,100.0,89.47,78.95,73.68,31.58,94.74,68.42,31.58,84.21,73.68
West Ham,36.84,42.11,21.05,78.95,52.63,26.32,5.26,78.95,42.11,10.53,5.26,94.74,89.47,52.63,47.37,15.79,78.95,57.89,47.37,52.63,52.63
Crystal Palace,38.89,22.22,38.89,77.78,50.0,33.33,11.11,72.22,50.0,16.67,5.56,88.89,83.33,61.11,44.44,27.78,77.78,50.0,33.33,61.11,61.11
Luton,22.22,22.22,55.56,94.44,33.33,11.11,5.56,88.89,50.0,27.78,11.11,100.0,88.89,66.67,33.33,22.22,94.44,33.33,55.56,72.22,72.22
